model,regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error,signal_regime
nori,scaling_n,20,200,0,1.9904950073640133,0.8252864707203489,4.962260961532593,,fixed
nori,scaling_n,20,200,1,1.6170333663192622,0.8929405638333676,5.011567831039429,,fixed
nori,scaling_n,20,200,2,1.948733015688894,0.8201308911509527,5.016165256500244,,fixed
nori,scaling_n,20,200,3,1.9082066047909896,0.8372333851264885,5.021896839141846,,fixed
nori,scaling_n,20,200,4,1.2699528689014066,0.931069106660105,4.973021984100342,,fixed
nori,scaling_n,50,200,0,2.2102156872015017,0.7845861287681868,8.239863157272339,,fixed
nori,scaling_n,50,200,1,1.7094685004097792,0.8803509666057214,8.133793115615845,,fixed
nori,scaling_n,50,200,2,2.00322873878376,0.8099302598747596,8.175352811813354,,fixed
nori,scaling_n,50,200,3,1.982875389919739,0.8242459315004574,8.153139114379883,,fixed
nori,scaling_n,50,200,4,1.3849533364384918,0.9180197984586306,8.116612911224365,,fixed
nori,scaling_n,100,400,0,1.5591228562259878,0.8892334510113824,18.912723064422607,,fixed
nori,scaling_n,100,400,1,1.397964979505755,0.9280799154266064,18.685950994491577,,fixed
nori,scaling_n,100,400,2,1.7359887104678675,0.8741164724299736,18.61021518707275,,fixed
nori,scaling_n,100,400,3,1.5493152159659505,0.8973262312892274,18.680758714675903,,fixed
nori,scaling_n,100,400,4,1.3310968976554034,0.9285982768303104,18.59396195411682,,fixed
nori,scaling_n,200,800,0,1.3869407286939306,0.9140266286982608,54.6211941242218,,fixed
nori,scaling_n,200,800,1,1.226501130958394,0.9408195773439596,53.89822602272034,,fixed
nori,scaling_n,200,800,2,1.3832262459896478,0.9240388981735758,53.704373836517334,,fixed
nori,scaling_n,200,800,3,1.2017827984322609,0.9361181207569894,53.572510957717896,,fixed
nori,scaling_n,200,800,4,1.333194956459174,0.9311685182817692,53.72780108451843,,fixed
nori,scaling_n,500,2000,0,1.2572083263698572,0.935360429393917,362.7636947631836,,fixed
nori,scaling_n,500,2000,1,1.2954737138881007,0.9251157363459864,364.07497692108154,,fixed
nori,scaling_n,500,2000,2,1.246851126579135,0.9243695013671578,379.75770688056946,,fixed
nori,scaling_n,500,2000,3,1.2483115569755117,0.9307214743026349,384.5679178237915,,fixed
nori,scaling_n,500,2000,4,1.33666037028654,0.9230122549145718,376.05567693710327,,fixed
nori,scaling_n,1000,2000,0,1.298417841610396,0.9310533904591438,384.8877799510956,,fixed
nori,scaling_n,1000,2000,1,1.3447067806895423,0.9193157915382928,378.3418231010437,,fixed
nori,scaling_n,1000,2000,2,1.1701909983483387,0.9333835837002804,374.16416668891907,,fixed
nori,scaling_n,1000,2000,3,1.172570046762564,0.9388733991070844,368.83073902130127,,fixed
nori,scaling_n,1000,2000,4,1.2864545137528178,0.928687062594338,363.8386189937592,,fixed
nori,scaling_n,2000,2000,0,1.297214955270756,0.9311810789668632,391.7554409503937,,fixed
nori,scaling_n,2000,2000,1,1.2669680097413136,0.9283749972247348,451.9948921203613,,fixed
nori,scaling_n,2000,2000,2,1.2078081560452645,0.9290318187173412,430.3191096782684,,fixed
nori,scaling_n,2000,2000,3,1.1914052386742662,0.9368938529353948,413.4242208003998,,fixed
nori,scaling_n,2000,2000,4,1.334658948056198,0.9232426344931596,473.132289648056,,fixed
nori,scaling_n,5000,2000,0,1.222725011373421,0.9388577301494696,394.921550989151,,fixed
nori,scaling_n,5000,2000,1,1.2616827635702246,0.9289713282808516,406.1825661659241,,fixed
nori,scaling_n,5000,2000,2,1.221254567046231,0.9274428590609124,405.01570200920105,,fixed
nori,scaling_n,5000,2000,3,1.1877502126870916,0.9372804565790576,410.9131281375885,,fixed
