model,regime,signal_regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error
xgboost,fixed_n,scaling,1000,2000,3,19.89442600397361,0.3284435744058402,6.625555992126465,
xgboost,fixed_n,scaling,1000,2000,4,19.887561724645735,0.4278750166362879,6.706173896789551,
xgboost,fixed_n,scaling,2000,2000,0,29.37852580928134,0.4252225181533067,11.598733186721802,
xgboost,fixed_n,scaling,2000,2000,1,29.615986763109017,0.4655530355327439,11.765223979949951,
xgboost,fixed_n,scaling,2000,2000,2,29.709568330151793,0.4267729564585909,11.94562602043152,
xgboost,fixed_n,scaling,2000,2000,3,29.16964663067743,0.4093259809024393,12.255608081817629,
xgboost,fixed_n,scaling,2000,2000,4,29.237950493534125,0.4560045691422596,11.957050085067747,
xgboost,fixed_n,scaling,5000,2000,0,50.59532759446636,0.1855994323524261,26.88778924942017,
xgboost,fixed_n,scaling,5000,2000,1,50.88715496713253,0.176152311982934,27.455336809158325,
xgboost,fixed_n,scaling,5000,2000,2,51.53984635072496,0.2039843138414728,27.47435998916626,
xgboost,fixed_n,scaling,5000,2000,3,52.46191947896549,0.1907632945388687,27.041244983673096,
xgboost,fixed_n,scaling,5000,2000,4,51.65617078283369,0.1574135563317474,27.03287386894226,
xgboost,fixed_n,scaling,10000,2000,0,64.26864940075144,0.0660449102292421,49.12457084655762,
xgboost,fixed_n,scaling,10000,2000,1,61.437117165141586,0.1118833108601065,49.4764621257782,
xgboost,fixed_n,scaling,10000,2000,2,64.09724662680554,0.0561913762186617,49.77987003326416,
xgboost,fixed_n,scaling,10000,2000,3,64.65880659443813,0.1155686368401948,49.77830123901367,
xgboost,fixed_n,scaling,10000,2000,4,66.96896996536825,0.0617675233633852,49.8888258934021,
