model,regime,signal_regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error
ridge,fixed_n,scaling,10,2000,3,3.1957364129369648,0.5459595382002551,0.0014469623565673,
ridge,fixed_n,scaling,10,2000,4,4.104206597315494,0.2741650376851419,0.0021018981933593,
ridge,fixed_n,scaling,20,2000,0,3.187194879659476,0.5845667974493676,0.0025341510772705,
ridge,fixed_n,scaling,20,2000,1,4.133557414818236,0.2376027838838509,0.0021729469299316,
ridge,fixed_n,scaling,20,2000,2,3.0226331480604753,0.5555339011703848,0.0021038055419921,
ridge,fixed_n,scaling,20,2000,3,3.209145243647251,0.5421413733798379,0.0022280216217041,
ridge,fixed_n,scaling,20,2000,4,4.096235421348863,0.2769817280882319,0.0025258064270019,
ridge,fixed_n,scaling,50,2000,0,2.905507837409304,0.6547544670735701,0.006357192993164,
ridge,fixed_n,scaling,50,2000,1,4.082846953239865,0.256194210708306,0.0038409233093261,
ridge,fixed_n,scaling,50,2000,2,2.9160240567399014,0.5863338687032358,0.0043649673461914,
ridge,fixed_n,scaling,50,2000,3,3.064259133814217,0.582550800069894,0.0040352344512939,
ridge,fixed_n,scaling,50,2000,4,4.056736849459207,0.2908581282117261,0.004220962524414,
ridge,fixed_n,scaling,100,2000,0,2.89507463511431,0.6572294556554896,0.0092449188232421,
ridge,fixed_n,scaling,100,2000,1,3.028374209736064,0.5907841646925456,0.0077040195465087,
ridge,fixed_n,scaling,100,2000,2,2.9189247049130107,0.5855104895601657,0.0078468322753906,
ridge,fixed_n,scaling,100,2000,3,2.938295064168188,0.616165979044055,0.0081689357757568,
ridge,fixed_n,scaling,100,2000,4,2.914081004411196,0.6340829085388024,0.0079240798950195,
ridge,fixed_n,scaling,200,2000,0,1.6236303900929203,0.6078341341010598,0.0188779830932617,
ridge,fixed_n,scaling,200,2000,1,1.6016854499294635,0.5344897617332637,0.0185909271240234,
ridge,fixed_n,scaling,200,2000,2,1.854784105630258,0.4695353147118406,0.0187859535217285,
ridge,fixed_n,scaling,200,2000,3,1.7644591696765952,0.5032954094952891,0.0186371803283691,
ridge,fixed_n,scaling,200,2000,4,1.6728187610371457,0.5718809682162727,0.0184619426727294,
ridge,fixed_n,scaling,500,2000,0,14.179855001302377,0.3391484750680222,0.0919821262359619,
ridge,fixed_n,scaling,500,2000,1,15.683783139238788,0.2556154397083288,0.0842442512512207,
ridge,fixed_n,scaling,500,2000,2,14.178348401963271,0.4219831342972333,0.0841569900512695,
ridge,fixed_n,scaling,500,2000,3,14.116512329573862,0.4760691661532783,0.084407091140747,
ridge,fixed_n,scaling,500,2000,4,13.058190263288644,0.5158823766600062,0.0835950374603271,
ridge,fixed_n,scaling,1000,2000,0,21.17495542717168,0.3514835975445564,0.3791699409484863,
ridge,fixed_n,scaling,1000,2000,1,21.840668402667248,0.3348722143094214,0.3122611045837402,
ridge,fixed_n,scaling,1000,2000,2,21.38377797069727,0.3213365115730628,0.3054931163787842,
ridge,fixed_n,scaling,1000,2000,3,19.391883824895007,0.361942697456573,0.3247740268707275,
ridge,fixed_n,scaling,1000,2000,4,20.301913040946516,0.4037865650133219,0.3206372261047363,
ridge,fixed_n,scaling,2000,2000,0,36.892261975391456,0.0936199990854415,0.899033784866333,
ridge,fixed_n,scaling,2000,2000,1,34.87196467372785,0.2590224803152081,0.925283908843994,
ridge,fixed_n,scaling,2000,2000,2,33.39510588367347,0.2757314329469323,0.8934609889984131,
ridge,fixed_n,scaling,2000,2000,3,32.49448811585831,0.2669983830679266,0.9385900497436525,
ridge,fixed_n,scaling,2000,2000,4,31.836319885168074,0.3550187068330604,0.918632984161377,
ridge,fixed_n,scaling,5000,2000,0,48.70680335964274,0.2452615101217704,1.0081291198730469,
ridge,fixed_n,scaling,5000,2000,1,49.786694789351216,0.2113992661284065,1.01055908203125,
ridge,fixed_n,scaling,5000,2000,2,52.25401869609413,0.1817711663381239,0.9848580360412598,
ridge,fixed_n,scaling,5000,2000,3,48.18514637283389,0.3173256500779875,0.95395827293396,
ridge,fixed_n,scaling,5000,2000,4,48.26617556962895,0.2643761086618804,0.9912559986114502,
ridge,fixed_n,scaling,10000,2000,0,58.944350668901805,0.2143809203154095,1.046442985534668,
ridge,fixed_n,scaling,10000,2000,1,59.30725060466555,0.1723933801458426,1.0416231155395508,
ridge,fixed_n,scaling,10000,2000,2,60.618051734028775,0.1558703779318225,1.1749639511108398,
ridge,fixed_n,scaling,10000,2000,3,66.12809203933249,0.0749168926998598,1.1014361381530762,
