signal_regime,model,n_features,mean,std,count
fixed,tabicl,500,0.8986788979430844,0.012797177092379623,5
fixed,tabicl,1000,0.9037461897621574,0.013150415945250135,5
fixed,tabicl,2000,0.9098820229237617,0.005935392361540661,5
fixed,tabicl,5000,0.9254579135441036,0.005248480647053063,5
fixed,tabicl,10000,0.9284342950169453,0.005929504069891413,5
fixed,tabpfn,10,0.9325947677298909,0.004581393089247334,5
fixed,tabpfn,20,0.9331977527788544,0.005747277347399637,5
fixed,tabpfn,50,0.929757149496276,0.0021092722516434024,5
fixed,tabpfn,100,0.9278095100916737,0.005973028979151989,5
fixed,tabpfn,200,0.9280430031213424,0.00987338382221344,5
fixed,tabpfn,500,0.8967042768983011,0.01831988582369637,5
fixed,tabpfn,1000,0.9069835876766679,0.0046303568884793955,5
fixed,tabpfn,2000,0.9144600432703005,0.00550107083330509,5
fixed,tabpfn,5000,0.9197813198589516,0.004702086656065707,5
fixed,tabpfn,10000,0.9203433977994997,0.0030685251020947132,5
fixed,xgboost,10,0.8285809737475139,0.01459030227519422,5
fixed,xgboost,20,0.816037500488745,0.017160931951244303,5
fixed,xgboost,50,0.7968126103347446,0.01568077148781592,5
fixed,xgboost,100,0.7798513035195995,0.016232531663814616,5
fixed,xgboost,200,0.7672871055514088,0.03501472151194464,5
fixed,xgboost,500,0.7735382232681283,0.008604445233878627,5
fixed,xgboost,1000,0.7817738653669597,0.014735601769699748,5
fixed,xgboost,2000,0.7890527861338004,0.007344863322955681,5
fixed,xgboost,5000,0.7777486960197935,0.02951474251332094,5
fixed,xgboost,10000,0.7913811517726398,0.010858613077522823,5
scaling,nori,10,0.9493772409129949,0.004766126059770487,5
scaling,nori,20,0.9500936753757463,0.004524153011412098,5
scaling,nori,50,0.9487068654246118,0.004939812567097137,5
scaling,nori,100,0.9468504146723996,0.004983567159818265,5
scaling,nori,200,0.9173478231427105,0.00864908380137487,5
scaling,nori,500,0.7418409897182415,0.017495796787646727,5
scaling,nori,1000,0.41912151735397546,0.026919985449465566,5
scaling,nori,2000,0.26835535009159767,0.06211752957812327,5
scaling,nori,5000,0.19815118128605821,0.0331625859307657,5
scaling,nori,10000,0.09756762649093066,0.01387228149451297,5
scaling,random_forest,10,0.7750749944231995,0.020957890630397383,5
scaling,random_forest,20,0.7258427915073602,0.02341286655714722,5
scaling,random_forest,50,0.7094446603343953,0.022792151459598228,5
scaling,random_forest,100,0.7228686376167811,0.020220182140763363,5
scaling,random_forest,200,0.5068503295770235,0.035971344299699844,5
scaling,random_forest,500,0.39894770417492564,0.034848104337302246,5
scaling,random_forest,1000,0.25141371297628046,0.026128339963685576,5
scaling,random_forest,2000,0.25387227366429765,0.027430344561821998,5
scaling,random_forest,5000,0.10813932179460706,0.008698492806720798,5
scaling,random_forest,10000,0.06052880254471312,0.008938242870674068,5
scaling,ridge,10,0.3820853094150641,0.15122071023172573,5
scaling,ridge,20,0.4393653167943346,0.16749483376744995,5
scaling,ridge,50,0.4741382949533464,0.18577847227566494,5
scaling,ridge,100,0.6167545994982117,0.02995617064568529,5
scaling,ridge,200,0.5374071176515451,0.054605659624064995,5
scaling,ridge,500,0.40173971837737377,0.10515842535213275,5
scaling,ridge,1000,0.3546843171793871,0.03153789384082853,5
scaling,ridge,2000,0.2500782004497138,0.09554587865763585,5
scaling,ridge,5000,0.24402674026563376,0.051789622956781675,5
scaling,ridge,10000,0.1574289987441579,0.051053552873526364,5
scaling,tabicl,10,0.9370246850681813,0.006863384913330373,5
scaling,tabicl,20,0.9287628979847282,0.009136932753478785,5
scaling,tabicl,50,0.9198711743518588,0.013618695724445639,5
scaling,tabicl,100,0.9044034620686032,0.005549225529320622,5
scaling,tabicl,200,0.7836011427489695,0.03331690869963063,5
scaling,tabicl,500,0.8184913530845834,0.03726452050581017,5
scaling,tabicl,1000,0.6236434645241266,0.032121044202383334,5
scaling,tabicl,2000,0.617116855916908,0.11415732869604384,5
scaling,tabicl,5000,0.2612090561739276,0.034366734504939975,5
scaling,tabicl,10000,0.1507320781573835,0.021969749730018043,5
scaling,tabpfn,10,0.9325947677298909,0.004581393089247334,5
scaling,tabpfn,20,0.9331977527788544,0.005747277347399637,5
scaling,tabpfn,50,0.929757149496276,0.0021092722516434024,5
scaling,tabpfn,100,0.9278095100916737,0.005973028979151989,5
scaling,tabpfn,200,0.8244204805366199,0.037132516282394355,5
scaling,tabpfn,500,0.5991454437092781,0.14738849544544205,5
scaling,tabpfn,1000,0.434150374528917,0.030203626370007286,5
scaling,tabpfn,2000,0.3067219398316994,0.11744285334258721,5
scaling,tabpfn,5000,0.10488108198203994,0.010362416360211735,5
scaling,tabpfn,10000,0.03522513685967876,0.008926775734600493,5
scaling,xgboost,10,0.8285809737475139,0.01459030227519422,5
scaling,xgboost,20,0.816037500488745,0.017160931951244303,5
scaling,xgboost,50,0.7968126103347446,0.01568077148781592,5
scaling,xgboost,100,0.7798513035195995,0.016232531663814616,5
scaling,xgboost,200,0.6628781661629052,0.02861104812942086,5
scaling,xgboost,500,0.5960973596881286,0.03151831712857785,5
scaling,xgboost,1000,0.3942414177198583,0.040168716782051805,5
scaling,xgboost,2000,0.4365758120378681,0.023370401368719547,5
scaling,xgboost,5000,0.18278258180948978,0.0173830937657067,5
scaling,xgboost,10000,0.08229115150231806,0.028937194331927294,5
